param D:=
1 25.5927
2 20.349
3 20.3697
4 23.1504
5 16.933
6 28.0585
7 18.6004
8 19.4703
9 15.6768
10 20.4439
11 20.1509
12 25.0158
13 14.0984
14 16.4981
15 13.6385
16 19.5668
17 25.7842
18 19.9581
19 25.6007
20 26.2551
;
param S:=
1 13
2 12
3 13
4 11
5 10
6 9
7 15
8 13
9 17
10 10
11 8
12 14
13 10
14 20
15 15
16 10
17 3
18 9
19 11
20 9
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0  11  12  16  15  18  20  12  16  15  19  13  17  13  14   9  12  14  22  14
 2  11   0  11  15  14  19  13   3  15  14  18  12  20  18   5   8  11  13  17  13
 3  12  11   0  16  15  20  18  12   6  15  19   3  21  13  14   3  12  14  22  14
 4  16  15  16   0  13  14  18  16  20  13  15  17  13  15  18  13  10  12  20  12
 5  15  14  15  13   0  17   7  15  19   2  16  16  18  22  15  12   9   3  13   3
 6  18  19  20  14  17   0  22  20  24  17   3  21   3  17  22  17  10  16  18  16
 7  20  13  18  18   7  22   0  12  14   7  21  17  23  27  10  17  14   8   6   8
 8  12   3  12  16  15  20  12   0  16  15  19  13  21  19   4   9  12  14  16  14
 9  16  15   6  20  19  24  14  16   0  19  23   5  25  17  14   7  16  18  18  18
10  15  14  15  13   2  17   7  15  19   0  16  16  18  22  15  12   9   3  13   3
11  19  18  19  15  16   3  21  19  23  16   0  20   4  18  21  16   9  15  17  15
12  13  12   3  17  16  21  17  13   5  16  20   0  22  14  15   4  13  15  21  15
13  17  20  21  13  18   3  23  21  25  18   4  22   0  16  23  18  11  17  19  17
14  13  18  13  15  22  17  27  19  17  22  18  14  16   0  21  12  19  21  29  21
15  14   5  14  18  15  22  10   4  14  15  21  15  23  21   0  11  14  16  14  16
16   9   8   3  13  12  17  17   9   7  12  16   4  18  12  11   0   9  11  19  11
17  12  11  12  10   9  10  14  12  16   9   9  13  11  19  14   9   0   8  10   8
18  14  13  14  12   3  16   8  14  18   3  15  15  17  21  16  11   8   0  14   2
19  22  17  22  20  13  18   6  16  18  13  17  21  19  29  14  19  10  14   0  14
20  14  13  14  12   3  16   8  14  18   3  15  15  17  21  16  11   8   2  14   0
;
param C =60;
