param D:=
1 22.2564
2 22.1407
3 19.3168
4 24.3877
5 19.5677
6 17.6701
7 19.9296
8 16.933
9 23.5005
10 17.6536
11 20.2595
12 25.5927
13 22.1781
14 22.6016
15 20.4986
16 26.2551
17 20.4725
18 16.5718
19 20.7318
20 13.4212
;
param S:=
1 13
2 10
3 10
4 16
5 18
6 15
7 15
8 10
9 16
10 14
11 7
12 13
13 10
14 8
15 3
16 9
17 4
18 11
19 6
20 7
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0  15   5  15   7  20   4  15   5  13  12  12   9  13  12  14  11  22  17   8
 2  15   0  12  18  20   7  17  12  18  16   5  15  12   4   9  11   8  13  14   9
 3   5  12   0  12  10  17   7  12   8  16   9   9   6  10   9  11   8  19  14   5
 4  15  18  12   0  12  23  15  18  14  16  15  15  12  16  15  17  14  25  20  11
 5   7  20  10  12   0  25   5  10   4   6  17  17  14  18  17  11  14  27  22  13
 6  20   7  17  23  25   0  22  17  23  21  10  10  13   9  14  16  13   8  13  14
 7   4  17   7  15   5  22   0  15   3  11  14  14  11  15  14  16  13  24  19  10
 8  15  12  12  18  10  17  15   0  14   6   9  15  12  10   9   3   6  19  14   9
 9   5  18   8  14   4  23   3  14   0  10  15  15  12  16  15  15  14  25  20  11
10  13  16  16  16   6  21  11   6  10   0  13  19  16  14  13   7  10  23  18  13
11  12   5   9  15  17  10  14   9  15  13   0  12   9   3   6   8   5  16  11   6
12  12  15   9  15  17  10  14  15  15  19  12   0   5  13  12  14  11  16  17   6
13   9  12   6  12  14  13  11  12  12  16   9   5   0  10   9  11   8  19  14   3
14  13   4  10  16  18   9  15  10  16  14   3  13  10   0   7   9   6  15  12   7
15  12   9   9  15  17  14  14   9  15  13   6  12   9   7   0   8   3  10   5   6
16  14  11  11  17  11  16  16   3  15   7   8  14  11   9   8   0   5  18  13   8
17  11   8   8  14  14  13  13   6  14  10   5  11   8   6   3   5   0  13   8   5
18  22  13  19  25  27   8  24  19  25  23  16  16  19  15  10  18  13   0   7  16
19  17  14  14  20  22  13  19  14  20  18  11  17  14  12   5  13   8   7   0  11
20   8   9   5  11  13  14  10   9  11  13   6   6   3   7   6   8   5  16  11   0
;
param C =60;
