param D:=
1 17.6536
2 27.7684
3 19.5668
4 21.6311
5 18.3374
6 16.5718
7 20.2595
8 17.0322
9 20.2915
10 26.2551
11 21.6442
12 21.0676
13 20.4725
14 22.9736
15 16.637
16 13.4212
17 21.6849
18 18.9898
19 19.4703
20 20.1509
;
param S:=
1 14
2 16
3 10
4 13
5 13
6 11
7 7
8 15
9 9
10 9
11 11
12 17
13 4
14 12
15 14
16 7
17 15
18 21
19 13
20 8
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0  22  16  19   3  23  13   3  15   7  17  23  10  14   2  13  21  27  13  20
 2  22   0  12   5  21  13  15  23   9  17  13   3  14  14  22   9   3   7  15  16
 3  16  12   0   9  15  19   9  17   3  11  13  13   8   8  16   5  11  13   9  16
 4  19   5   9   0  18  16  12  20   6  14  16   6  11  11  19   6   4  10  12  19
 5   3  21  15  18   0  22  12   4  14   6  16  22   9  15   3  12  20  26  14  19
 6  23  13  19  16  22   0  16  24  18  18  12  12  13  21  23  16  14  12  22   5
 7  13  15   9  12  12  16   0  14   8   8   6  16   5  11  13   6  14  16  12  13
 8   3  23  17  20   4  24  14   0  16   8  18  24  11  11   3  14  22  28  10  21
 9  15   9   3   6  14  18   8  16   0  10  12  10   7   7  15   2   8  14   8  15
10   7  17  11  14   6  18   8   8  10   0  12  18   5  13   7   8  16  22  14  15
11  17  13  13  16  16  12   6  18  12  12   0  12   9  15  17  10  14  12  16  15
12  23   3  13   6  22  12  16  24  10  18  12   0  15  15  23  10   4   6  16  15
13  10  14   8  11   9  13   5  11   7   5   9  15   0  10  10   5  13  19  11  10
14  14  14   8  11  15  21  11  11   7  13  15  15  10   0  14   7  13  19   3  18
15   2  22  16  19   3  23  13   3  15   7  17  23  10  14   0  13  21  27  13  20
16  13   9   5   6  12  16   6  14   2   8  10  10   5   7  13   0   8  14   8  13
17  21   3  11   4  20  14  14  22   8  16  14   4  13  13  21   8   0   8  14  17
18  27   7  13  10  26  12  16  28  14  22  12   6  19  19  27  14   8   0  20  15
19  13  15   9  12  14  22  12  10   8  14  16  16  11   3  13   8  14  20   0  19
20  20  16  16  19  19   5  13  21  15  15  15  15  10  18  20  13  17  15  19   0
;
param C =60;
