param D:=
1 15.8346
2 19.1714
3 20.2595
4 16.5718
5 18.9898
6 20.8998
7 18.4437
8 19.9581
9 25.2937
10 18.6004
11 17.993
12 21.6849
13 13.4212
14 22.4666
15 24.8836
16 25.6007
17 13.2103
18 15.8058
19 19.4703
20 23.9166
;
param S:=
1 7
2 19
3 7
4 11
5 21
6 5
7 14
8 9
9 14
10 15
11 14
12 15
13 7
14 10
15 7
16 11
17 6
18 9
19 13
20 21
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0  18   6  16  20  10  13   4  13  10  13  14   6   9   6  16  11   8  12  16
 2  18   0  18  16   4  22  19  20  13  26  13  12  14  15  14  28  23  12  18  20
 3   6  18   0  16  16  10  13   8   9  14  13  14   6   9   6  16  11   8  12  20
 4  16  16  16   0  12  14  23  18   9  24  15  14  16  19  16  20  15  18  22  30
 5  20   4  16  12   0  24  21  22   9  28   9   8  14  13  16  30  25  14  20  22
 6  10  22  10  14  24   0  17  12  17  12  17  18  10  13  10   8   3  12  16  18
 7  13  19  13  23  21  17   0  15  20  11  14  15   9  10   7  15  18   7   3   9
 8   4  20   8  18  22  12  15   0  15   8  15  16   8  11   8  14  13  10  14  14
 9  13  13   9   9   9  17  20  15   0  21  12  11  13  16  13  23  18  15  19  27
10  10  26  14  24  28  12  11   8  21   0  21  22  14  17  14   6  11  16  12   8
11  13  13  13  15   9  17  14  15  12  21   0   3   7   6   9  23  18   9  13  21
12  14  12  14  14   8  18  15  16  11  22   3   0   8   7  10  24  19  10  14  22
13   6  14   6  16  14  10   9   8  13  14   7   8   0   3   2  16  11   4   8  16
14   9  15   9  19  13  13  10  11  16  17   6   7   3   0   5  19  14   5   9  17
15   6  14   6  16  16  10   7   8  13  14   9  10   2   5   0  16  11   2   6  14
16  16  28  16  20  30   8  15  14  23   6  23  24  16  19  16   0   7  18  16  12
17  11  23  11  15  25   3  18  13  18  11  18  19  11  14  11   7   0  13  17  17
18   8  12   8  18  14  12   7  10  15  16   9  10   4   5   2  18  13   0   6  14
19  12  18  12  22  20  16   3  14  19  12  13  14   8   9   6  16  17   6   0  10
20  16  20  20  30  22  18   9  14  27   8  21  22  16  17  14  12  17  14  10   0
;
param C =60;
