param D:=
1 20.6109
2 22.449
3 25.2937
4 18.9791
5 21.0676
6 21.8394
7 17.0322
8 22.6016
9 17.6536
10 13.2103
11 23.075
12 20.2915
13 22.0965
14 23.3171
15 21.7513
16 24.8836
17 21.6849
18 14.0984
19 20.608
20 25.3194
;
param S:=
1 6
2 9
3 14
4 10
5 17
6 17
7 15
8 8
9 14
10 6
11 17
12 9
13 18
14 13
15 18
16 7
17 15
18 10
19 7
20 12
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0  13  12   8  13  13  11   6  10  10  13   5  14  11  14   3  11  14   5   8
 2  13   0  21  17  24  24  10  15  11   5  14  16  13  20  25  14  22  17  14  19
 3  12  21   0   6   9  15  21   8  20  18  23  15  24   3   8  13  11  10   9  14
 4   8  17   6   0  13  19  17   4  16  14  19  11  20   5  12   9  15  14   5  14
 5  13  24   9  13   0  12  24  15  23  21  20  10  21  10   3  12   4  13  16   7
 6  13  24  15  19  12   0  24  17  23  21  20  10  21  16   9  12  14  19  16  15
 7  11  10  21  17  24  24   0  15   3  13   6  16   5  20  25  14  22  23  14  19
 8   6  15   8   4  15  17  15   0  14  12  17   9  18   7  14   7  15  16   3  12
 9  10  11  20  16  23  23   3  14   0  14   9  15   8  19  24  13  21  22  13  18
10  10   5  18  14  21  21  13  12  14   0  17  13  16  17  22  11  19  14  11  16
11  13  14  23  19  20  20   6  17   9  17   0  12   3  22  21  10  18  25  16  15
12   5  16  15  11  10  10  16   9  15  13  12   0  13  14  11   4   8  17   8   5
13  14  13  24  20  21  21   5  18   8  16   3  13   0  23  22  11  19  26  17  16
14  11  20   3   5  10  16  20   7  19  17  22  14  23   0   9  12  12  11   8  15
15  14  25   8  12   3   9  25  14  24  22  21  11  22   9   0  13   5  12  15   8
16   3  14  13   9  12  12  14   7  13  11  10   4  11  12  13   0  10  15   6   7
17  11  22  11  15   4  14  22  15  21  19  18   8  19  12   5  10   0  15  14   5
18  14  17  10  14  13  19  23  16  22  14  25  17  26  11  12  15  15   0  15  18
19   5  14   9   5  16  16  14   3  13  11  16   8  17   8  15   6  14  15   0  11
20   8  19  14  14   7  15  19  12  18  16  15   5  16  15   8   7   5  18  11   0
;
param C =60;
