param D:=
1 17.8329
2 21.9285
3 20.8998
4 20.7318
5 24.7364
6 20.1509
7 20.2119
8 20.2915
9 13.3673
10 23.201
11 17.0322
12 8.435
13 23.1504
14 23.9166
15 17.6536
16 19.5677
17 21.6849
18 19.3168
19 16.5718
20 18.9898
;
param S:=
1 14
2 15
3 5
4 6
5 16
6 8
7 12
8 9
9 7
10 13
11 15
12 13
13 11
14 21
15 14
16 18
17 15
18 10
19 11
20 21
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0  21  17  14  16  12   4  15  13  19  21   3   5  27  20  24  11  16   9   9
 2  21   0  18  19  11  21  19   8  20  18  14  20  18   8  17  13  16  11  24  16
 3  17  18   0   9  19  11  15  12  10  16  14  16  14  18  15  15  18  13  14  24
 4  14  19   9   0  20   4  16  13   3  17  19  15  15  25  18  22  19  14   7  17
 5  16  11  19  20   0  22  18   9  21  21  23  17  19  17  22  20  15  12  19   7
 6  12  21  11   4  22   0  14  15   3  19  21  13  15  27  20  24  17  16   5  15
 7   4  19  15  16  18  14   0  13  15  17  19   3   3  25  18  22  13  14  11  11
 8  15   8  12  13   9  15  13   0  14  14  16  14  12  14  15  13   8   5  18  14
 9  13  20  10   3  21   3  15  14   0  18  20  14  16  26  19  23  18  15   6  16
10  19  18  16  17  21  19  17  14  18   0   4  18  16  10   3   7  20  15  22  26
11  21  14  14  19  23  21  19  16  20   4   0  20  18   6   3   3  22  13  24  28
12   3  20  16  15  17  13   3  14  14  18  20   0   4  26  19  23  12  15  10  10
13   5  18  14  15  19  15   3  12  16  16  18   4   0  24  17  21  14  13  12  12
14  27   8  18  25  17  27  25  14  26  10   6  26  24   0   9   5  22  13  30  22
15  20  17  15  18  22  20  18  15  19   3   3  19  17   9   0   6  21  16  23  27
16  24  13  15  22  20  24  22  13  23   7   3  23  21   5   6   0  19  10  27  25
17  11  16  18  19  15  17  13   8  18  20  22  12  14  22  21  19   0  11  14   8
18  16  11  13  14  12  16  14   5  15  15  13  15  13  13  16  10  11   0  19  17
19   9  24  14   7  19   5  11  18   6  22  24  10  12  30  23  27  14  19   0  12
20   9  16  24  17   7  15  11  14  16  26  28  10  12  22  27  25   8  17  12   0
;
param C =60;
