param D:=
1 21.8082
2 17.0322
3 25.2937
4 17.3706
5 20.2119
6 18.4437
7 17.2902
8 13.4212
9 20.4986
10 15.8058
11 23.9242
12 22.4666
13 19.3168
14 18.3374
15 12.6229
16 22.2727
17 25.0158
18 22.1407
19 20.1509
20 23.8176
;
param S:=
1 15
2 15
3 14
4 18
5 12
6 14
7 12
8 7
9 3
10 9
11 10
12 10
13 10
14 13
15 16
16 12
17 14
18 10
19 8
20 4
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0  22   3   5   5  21  13  14  14  16  17  15  17  20   9   3  21   7   9  11
 2  22   0  21  25  19   9  19  14  14  14  17  17  13   4  23  25  15  17  21  13
 3   3  21   0   6   4  20  14  13  13  15  16  16  16  19  10   6  20   6  12  10
 4   5  25   6   0   8  18   8  11  17  13  14  10  14  23   4   6  18  10  12  14
 5   5  19   4   8   0  18  16  11  11  13  14  14  14  17  12   8  18   4  14   8
 6  21   9  20  18  18   0  12   9  13   7  10  10   6  13  16  24  14  16  20  12
 7  13  19  14   8  16  12   0   5  11   7   8   4   8  17   6  14  12  14  18  10
 8  14  14  13  11  11   9   5   0   6   4   5   3   5  12   9  17   9   9  13   5
 9  14  14  13  17  11  13  11   6   0   8   9   9   9  12  15  11  13   9   7   3
10  16  14  15  13  13   7   7   4   8   0   3   5   3  14  11  19   7  11  15   7
11  17  17  16  14  14  10   8   5   9   3   0   6   6  15  12  20   6  12  16   8
12  15  17  16  10  14  10   4   3   9   5   6   0   6  15   8  16  10  12  16   8
13  17  13  16  14  14   6   8   5   9   3   6   6   0  15  12  20  10  12  16   8
14  20   4  19  23  17  13  17  12  12  14  15  15  15   0  21  23  19  15  19  11
15   9  23  10   4  12  16   6   9  15  11  12   8  12  21   0  10  16  14  16  14
16   3  25   6   6   8  24  14  17  11  19  20  16  20  23  10   0  24  10   6  14
17  21  15  20  18  18  14  12   9  13   7   6  10  10  19  16  24   0  16  20  12
18   7  17   6  10   4  16  14   9   9  11  12  12  12  15  14  10  16   0  16   6
19   9  21  12  12  14  20  18  13   7  15  16  16  16  19  16   6  20  16   0  10
20  11  13  10  14   8  12  10   5   3   7   8   8   8  11  14  14  12   6  10   0
;
param C =60;
