param D:=
1 20.3697
2 20.4051
3 17.2902
4 22.449
5 15.8058
6 25.3194
7 14.0984
8 19.9296
9 15.1793
10 23.1504
11 25.0158
12 21.0676
13 20.0156
14 19.1498
15 16.8368
16 13.6385
17 23.9166
18 23.0918
19 22.2727
20 24.1461
;
param S:=
1 13
2 4
3 12
4 9
5 9
6 12
7 10
8 15
9 12
10 11
11 14
12 17
13 5
14 11
15 18
16 15
17 21
18 6
19 12
20 8
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0  15  11  20   6  11  21  14  17  16   3  16  16  10   7  14  10   9  23  13
 2  15   0  14  11  11  14   8  17  14  13  16  19   3  13  20  17  23   8  10  10
 3  11  14   0  19   7   2  18  13  16  15  12   7  15   9  16  13  19   8  14  12
 4  20  11  19   0  16  19  17  16  13  18  21  24  12  18  19  16  14  13  19  15
 5   6  11   7  16   0   7  17   8  13  12   7  12  12   4  11   8  14   5  19   9
 6  11  14   2  19   7   0  18  13  16  15  12   7  15   9  16  13  19   8  14  12
 7  21   8  18  17  17  18   0  23  20  13  22  13   7  19  26  23  29  14   4  16
 8  14  17  13  16   8  13  23   0  13  18  15  18  18   6  13   2   8  11  25  15
 9  17  14  16  13  13  16  20  13   0  15  18  21  15  15  16  13  11  10  22   6
10  16  13  15  18  12  15  13  18  15   0  17  12  14  14  21  18  24   7   9  11
11   3  16  12  21   7  12  22  15  18  17   0  17  17  11   6  15   9  10  24  14
12  16  19   7  24  12   7  13  18  21  12  17   0  18  14  21  18  24  13   9  17
13  16   3  15  12  12  15   7  18  15  14  17  18   0  14  21  18  24   9   9  11
14  10  13   9  18   4   9  19   6  15  14  11  14  14   0  15   6  12   7  21  11
15   7  20  16  19  11  16  26  13  16  21   6  21  21  15   0  13   5  14  28  18
16  14  17  13  16   8  13  23   2  13  18  15  18  18   6  13   0   8  11  25  15
17  10  23  19  14  14  19  29   8  11  24   9  24  24  12   5   8   0  17  31  15
18   9   8   8  13   5   8  14  11  10   7  10  13   9   7  14  11  17   0  14   6
19  23  10  14  19  19  14   4  25  22   9  24   9   9  21  28  25  31  14   0  18
20  13  10  12  15   9  12  16  15   6  11  14  17  11  11  18  15  15   6  18   0
;
param C =60;
