param D:=
1 23.9242
2 16.8368
3 10.917
4 23.8176
5 15.0177
6 20.7318
7 22.0965
8 8.435
9 16.4981
10 24.3877
11 15.8058
12 23.3171
13 23.5005
14 15.8346
15 20.4439
16 18.9791
17 17.0322
18 23.201
19 13.147
20 17.0893
;
param S:=
1 10
2 18
3 7
4 4
5 11
6 6
7 18
8 13
9 20
10 16
11 9
12 13
13 16
14 7
15 10
16 10
17 15
18 13
19 17
20 11
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0  10   9   8  13  14  14  15  10   8   3  15  12   9  12  12  17  15  13   7
 2  10   0  17  16  17  22   8  23  18   4  11  23  12  17  18  20  11  15  21  15
 3   9  17   0   5   6  11  15  12  19  15   8  12  15   2   5   9  10   8  16  10
 4   8  16   5   0   9   8  16   9  18  14   7   9  14   5   8   6  13  11  15   9
 5  13  17   6   9   0  15  11  16  23  19  12  16  13   6   3  13   6   4  20  14
 6  14  22  11   8  15   0  22  15  20  20  13  15  20  11  14  14  19  17  17  15
 7  14   8  15  16  11  22   0  23  24  10  11  23   4  15  12  20   5   9  21   9
 8  15  23  12   9  16  15  23   0  13  21  14   2  21  12  15   5  20  18  10  16
 9  10  18  19  18  23  20  24  13   0  16  13  13  22  19  22  16  27  25   9  17
10   8   4  15  14  19  20  10  21  16   0   9  21  14  15  18  18  13  17  19  13
11   3  11   8   7  12  13  11  14  13   9   0  14   9   8  11  11  14  14  12   4
12  15  23  12   9  16  15  23   2  13  21  14   0  21  12  15   5  20  18  10  16
13  12  12  15  14  13  20   4  21  22  14   9  21   0  15  14  18   7  11  19   7
14   9  17   2   5   6  11  15  12  19  15   8  12  15   0   5   9  10   8  16  10
15  12  18   5   8   3  14  12  15  22  18  11  15  14   5   0  12   7   5  19  13
16  12  20   9   6  13  14  20   5  16  18  11   5  18   9  12   0  17  15  13  13
17  17  11  10  13   6  19   5  20  27  13  14  20   7  10   7  17   0   4  24  12
18  15  15   8  11   4  17   9  18  25  17  14  18  11   8   5  15   4   0  22  16
19  13  21  16  15  20  17  21  10   9  19  12  10  19  16  19  13  24  22   0  14
20   7  15  10   9  14  15   9  16  17  13   4  16   7  10  13  13  12  16  14   0
;
param C =60;
