param D:=
1 19.5668
2 18.3374
3 22.0965
4 17.8329
5 22.2564
6 19.9296
7 19.3168
8 23.075
9 23.9242
10 21.2646
11 20.608
12 17.993
13 14.6119
14 13.4212
15 24.7364
16 21.9285
17 21.5758
18 21.6311
19 20.2119
20 14.2771
;
param S:=
1 10
2 13
3 18
4 14
5 13
6 15
7 10
8 17
9 10
10 8
11 7
12 14
13 11
14 7
15 16
16 15
17 4
18 13
19 12
20 9
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0  15  14  16   9  11   6  13   2  16   9  10   7   5   8   5  12   9  14  11
 2  15   0   9  19  14  12  15  10  15  13  12  19  16  12  21  18  15  18  17  14
 3  14   9   0  24   7   5  10   3  14  14  17  18  15  13  20  11  18  17  22  19
 4  16  19  24   0  19  21  16  23  16  20   9  12  15  13  16  21  16  13   4   7
 5   9  14   7  19   0   4   5   6   9  19  12  13  10   8  15  14  15  12  17  14
 6  11  12   5  21   4   0   7   4  11  17  14  15  12  10  17  16  17  14  19  16
 7   6  15  10  16   5   7   0   9   6  16   9  10   7   5  12  11  12   9  14  11
 8  13  10   3  23   6   4   9   0  13  15  16  17  14  12  19  14  19  16  21  18
 9   2  15  14  16   9  11   6  13   0  16   9  10   7   5   6   7  12   9  14  11
10  16  13  14  20  19  17  16  15  16   0  13  20  17  13  22  21   6  19  18  15
11   9  12  17   9  12  14   9  16   9  13   0  13  10   6  15  14   9  12   7   4
12  10  19  18  12  13  15  10  17  10  20  13   0   5   7  16  15  16   3  14  15
13   7  16  15  15  10  12   7  14   7  17  10   5   0   4  13  12  13   4  15  12
14   5  12  13  13   8  10   5  12   5  13   6   7   4   0  11  10   9   6  11   8
15   8  21  20  16  15  17  12  19   6  22  15  16  13  11   0  11  18  15  18  17
16   5  18  11  21  14  16  11  14   7  21  14  15  12  10  11   0  17  14  19  16
17  12  15  18  16  15  17  12  19  12   6   9  16  13   9  18  17   0  15  14  11
18   9  18  17  13  12  14   9  16   9  19  12   3   4   6  15  14  15   0  15  14
19  14  17  22   4  17  19  14  21  14  18   7  14  15  11  18  19  14  15   0   5
20  11  14  19   7  14  16  11  18  11  15   4  15  12   8  17  16  11  14   5   0
;
param C =60;
