param D:=
1 18.5767
2 16.2009
3 25.7842
4 12.6229
5 22.9736
6 8.435
7 18.9791
8 24.7364
9 13.3673
10 25.3194
11 21.0676
12 20.4439
13 20.4986
14 21.2646
15 20.4725
16 15.1793
17 13.2103
18 23.3281
19 16.933
20 21.8394
;
param S:=
1 12
2 10
3 3
4 16
5 12
6 13
7 10
8 16
9 7
10 12
11 17
12 10
13 3
14 8
15 4
16 12
17 6
18 11
19 10
20 17
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0  12  11  20  16  17  14  20  17  16  21   4  11  14   8   2  16   3   4  21
 2  12   0   9  24  18  21  18  24  15  20  25  14  11   4  12  12   6  13  14  25
 3  11   9   0  15  11  12   9  15   8  11  16   9   2   7   3  11   5  10   9  16
 4  20  24  15   0  14  11  14  14  17   6   3  18  15  22  14  20  20  19  18  13
 5  16  18  11  14   0  17  14  14  17  10  15  14  11  18  10  16  16  15  14  15
 6  17  21  12  11  17   0   5  17  14  15  10  15  12  19  11  17  17  16  15  16
 7  14  18   9  14  14   5   0  18  15  14  13  12   9  16   8  14  14  13  12  19
 8  20  24  15  14  14  17  18   0  21  14  13  18  15  22  14  20  20  19  18   3
 9  17  15   8  17  17  14  15  21   0  17  16  15   6  13   9  17  11  16  15  22
10  16  20  11   6  10  15  14  14  17   0   7  14  11  18  10  16  16  15  14  15
11  21  25  16   3  15  10  13  13  16   7   0  19  16  23  15  21  21  20  19  12
12   4  14   9  18  14  15  12  18  15  14  19   0   9  16   6   4  14   3   2  19
13  11  11   2  15  11  12   9  15   6  11  16   9   0   9   3  11   7  10   9  16
14  14   4   7  22  18  19  16  22  13  18  23  16   9   0  10  14   4  15  16  23
15   8  12   3  14  10  11   8  14   9  10  15   6   3  10   0   8   8   7   6  15
16   2  12  11  20  16  17  14  20  17  16  21   4  11  14   8   0  16   3   4  21
17  16   6   5  20  16  17  14  20  11  16  21  14   7   4   8  16   0  15  14  21
18   3  13  10  19  15  16  13  19  16  15  20   3  10  15   7   3  15   0   3  20
19   4  14   9  18  14  15  12  18  15  14  19   2   9  16   6   4  14   3   0  19
20  21  25  16  13  15  16  19   3  22  15  12  19  16  23  15  21  21  20  19   0
;
param C =60;
