param D:=
1 23.075
2 8.435
3 18.9791
4 23.1504
5 21.0676
6 20.2595
7 20.4986
8 24.1118
9 13.6385
10 22.7393
11 19.5677
12 16.7646
13 23.5728
14 19.4703
15 17.2902
16 22.4666
17 15.1793
18 25.7842
19 27.7684
20 18.3257
;
param S:=
1 17
2 13
3 10
4 11
5 17
6 7
7 3
8 15
9 15
10 13
11 18
12 14
13 12
14 13
15 12
16 10
17 12
18 3
19 16
20 14
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0  22  19  20  20  16  16  18   4  16   3  17   9   6  15  13  11  16  19   5
 2  22   0   5   4  10   8  12  18  20  18  23  19  23  18  15  15  17  12  11  19
 3  19   5   0   3  13   5   9  17  17  15  20  16  20  15  14  12  14   9  14  16
 4  20   4   3   0  12   6  10  18  18  16  21  17  21  16  15  13  15  10  13  17
 5  20  10  13  12   0  16  16  14  18  16  21  15  27  16   7   9  21  16   3  17
 6  16   8   5   6  16   0   6  14  14  12  17  13  17  12  11   9  11   6  15  13
 7  16  12   9  10  16   6   0  14  14  12  17  13  13  12  11   9  11   2  15  13
 8  18  18  17  18  14  14  14   0  16   4  19   3  25  14  13  11  19  14  15  15
 9   4  20  17  18  18  14  14  16   0  14   5  15  11   4  13  11  13  14  17   3
10  16  18  15  16  16  12  12   4  14   0  17   3  23  12  11   9  17  12  15  13
11   3  23  20  21  21  17  17  19   5  17   0  18   6   7  16  14   8  17  20   6
12  17  19  16  17  15  13  13   3  15   3  18   0  24  13  12  10  18  13  16  14
13   9  23  20  21  27  17  13  25  11  23   6  24   0  13  22  20   8  11  26  12
14   6  18  15  16  16  12  12  14   4  12   7  13  13   0  11   9  15  12  15   3
15  15  15  14  15   7  11  11  13  13  11  16  12  22  11   0   4  16  11   6  12
16  13  15  12  13   9   9   9  11  11   9  14  10  20   9   4   0  14   9   8  10
17  11  17  14  15  21  11  11  19  13  17   8  18   8  15  16  14   0  11  20  14
18  16  12   9  10  16   6   2  14  14  12  17  13  11  12  11   9  11   0  15  13
19  19  11  14  13   3  15  15  15  17  15  20  16  26  15   6   8  20  15   0  16
20   5  19  16  17  17  13  13  15   3  13   6  14  12   3  12  10  14  13  16   0
;
param C =60;
