param D:=
1 21.2646
2 17.3706
3 20.4986
4 20.8998
5 13.2103
6 20.6109
7 17.0893
8 18.6004
9 23.9166
10 25.0158
11 24.228
12 24.3877
13 25.7842
14 15.4257
15 15.1793
16 22.449
17 20.0156
18 23.075
19 21.8082
20 16.5718
;
param S:=
1 8
2 18
3 3
4 5
5 6
6 6
7 11
8 15
9 21
10 14
11 9
12 16
13 3
14 15
15 12
16 9
17 5
18 17
19 15
20 11
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0  24   9   5   4  12  17   9  15  20  15  22   7  21  14   3  11  15  21  17
 2  24   0  17  21  22  14  15  25  25  18  11  20  17   5  22  25  15  21   5   9
 3   9  17   0   6   7   5  10  14  20  13   8  15   2  14  11  10   4  16  14  10
 4   5  21   6   0   3   9  14  12  18  17  12  19   4  18  15   6   8  18  18  14
 5   4  22   7   3   0  10  15  11  17  18  13  20   5  19  16   5   9  17  19  15
 6  12  14   5   9  10   0   7  11  17  10   7  12   5  11   8  13   9  13  13  15
 7  17  15  10  14  15   7   0  14  12  11  12  13  10  12  15  18  14   8  18  20
 8   9  25  14  12  11  11  14   0   8  17  16  15  14  22   5   8  18   8  22  24
 9  15  25  20  18  17  17  12   8   0   9  22   7  20  22  11  14  24   6  28  30
10  20  18  13  17  18  10  11  17   9   0  15   4  13  15  18  21  17  15  21  23
11  15  11   8  12  13   7  12  16  22  15   0  17   8  16  13  16  12  18   8  14
12  22  20  15  19  20  12  13  15   7   4  17   0  15  17  18  21  19  13  23  25
13   7  17   2   4   5   5  10  14  20  13   8  15   0  14  11   8   6  16  14  12
14  21   5  14  18  19  11  12  22  22  15  16  17  14   0  19  22  18  18  10  14
15  14  22  11  15  16   8  15   5  11  18  13  18  11  19   0  13  15  11  19  21
16   3  25  10   6   5  13  18   8  14  21  16  21   8  22  13   0  12  14  22  18
17  11  15   4   8   9   9  14  18  24  17  12  19   6  18  15  12   0  20  12   8
18  15  21  16  18  17  13   8   8   6  15  18  13  16  18  11  14  20   0  24  26
19  21   5  14  18  19  13  18  22  28  21   8  23  14  10  19  22  12  24   0   6
20  17   9  10  14  15  15  20  24  30  23  14  25  12  14  21  18   8  26   6   0
;
param C =60;
