param D:=
1 23.9242
2 21.6442
3 25.6007
4 17.6352
5 16.7646
6 22.1407
7 24.3877
8 18.6004
9 21.2646
10 28.0585
11 20.7318
12 16.5718
13 22.449
14 19.9581
15 10.917
16 18.9898
17 23.5728
18 19.5285
19 22.9736
20 20.8998
;
param S:=
1 10
2 11
3 11
4 20
5 14
6 10
7 16
8 15
9 8
10 9
11 6
12 11
13 9
14 9
15 7
16 21
17 12
18 18
19 12
20 5
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0  13  19  12   4  12   8  17  16  17  14  19  17  11   9  11  20   8   8  13
 2  13   0  20  23  17   3  19  18  17  14  15  12  18  12  10  12  21  17  15  14
 3  19  20   0  15  23  19  19   6   5  18  15  20   4  14  16  30   3  27  17   8
 4  12  23  15   0  14  22   6  11  18  27  24  29  17  17  19  21  12  18  14  21
 5   4  17  23  14   0  16  10  21  20  21  18  21  21  15  13   9  24   6  12  17
 6  12   3  19  22  16   0  18  17  16  15  14  13  17  11   9  13  20  18  14  13
 7   8  19  19   6  10  18   0  15  22  23  20  25  21  17  15  17  16  14  14  19
 8  17  18   6  11  21  17  15   0   9  22  19  24   8   8  10  28   3  25  13  12
 9  16  17   5  18  20  16  22   9   0  15  12  17   3  15  13  27   6  24  18   5
10  17  14  18  27  21  15  23  22  15   0   5   4  16  16  14  14  19  19  19  12
11  14  15  15  24  18  14  20  19  12   5   0   7  13  13  11  17  16  22  16   9
12  19  12  20  29  21  13  25  24  17   4   7   0  18  18  16  12  21  17  21  14
13  17  18   4  17  21  17  21   8   3  16  13  18   0  16  14  28   5  25  19   6
14  11  12  14  17  15  11  17   8  15  16  13  18  16   0   4  22  11  19  13  12
15   9  10  16  19  13   9  15  10  13  14  11  16  14   4   0  20  13  17  11  10
16  11  12  30  21   9  13  17  28  27  14  17  12  28  22  20   0  31   5  19  24
17  20  21   3  12  24  20  16   3   6  19  16  21   5  11  13  31   0  28  14   9
18   8  17  27  18   6  18  14  25  24  19  22  17  25  19  17   5  28   0  16  21
19   8  15  17  14  12  14  14  13  18  19  16  21  19  13  11  19  14  16   0  15
20  13  14   8  21  17  13  19  12   5  12   9  14   6  12  10  24   9  21  15   0
;
param C =60;
