param D:=
1 12.6229
2 20.4439
3 20.1509
4 16.7646
5 20.7318
6 19.9296
7 25.6007
8 18.3374
9 18.6004
10 16.5718
11 20.2595
12 10.917
13 23.5728
14 21.6311
15 23.9242
16 22.17
17 22.2564
18 24.8836
19 19.1498
20 18.4437
;
param S:=
1 16
2 10
3 8
4 14
5 6
6 15
7 11
8 13
9 15
10 11
11 7
12 7
13 12
14 13
15 10
16 11
17 13
18 7
19 11
20 14
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0  18  16  16  18  17  25  21  23  13  15  15  26   5  12   7  15  11  13  16
 2  18   0  16  16  14  15  13   5   7  19   9   5  10  15  12  13  15   9  13  16
 3  16  16   0  20   4  21  17  19  21   5  13  13  18  19  16  17  19  13  17  20
 4  16  16  20   0  18  15  23  19  21  21  13  13  24  13   4  11  13   9  11  14
 5  18  14   4  18   0  19  15  17  19   7  11  11  16  17  14  15  17  11  15  18
 6  17  15  21  15  19   0  14  12  10  24  14  14  11  14  11  12   4   8   6   3
 7  25  13  17  23  15  14   0  10   6  20  16  16   3  22  19  20  16  16  18  15
 8  21   5  19  19  17  12  10   0   4  22  12   8   7  18  15  16  14  12  16  13
 9  23   7  21  21  19  10   6   4   0  24  14  10   3  20  17  18  12  14  14  11
10  13  19   5  21   7  24  20  22  24   0  16  16  21  16  19  18  22  16  20  23
11  15   9  13  13  11  14  16  12  14  16   0   6  17  12   9  10  12   6  10  13
12  15   5  13  13  11  14  16   8  10  16   6   0  13  12   9  10  12   6  10  13
13  26  10  18  24  16  11   3   7   3  21  17  13   0  23  20  21  13  17  15  12
14   5  15  19  13  17  14  22  18  20  16  12  12  23   0   9   4  12   8  10  13
15  12  12  16   4  14  11  19  15  17  19   9   9  20   9   0   7   9   5   7  10
16   7  13  17  11  15  12  20  16  18  18  10  10  21   4   7   0  10   6   8  11
17  15  15  19  13  17   4  16  14  12  22  12  12  13  12   9  10   0   6   4   3
18  11   9  13   9  11   8  16  12  14  16   6   6  17   8   5   6   6   0   4   7
19  13  13  17  11  15   6  18  16  14  20  10  10  15  10   7   8   4   4   0   5
20  16  16  20  14  18   3  15  13  11  23  13  13  12  13  10  11   3   7   5   0
;
param C =60;
