param D:=
1 15.8346
2 17.0893
3 16.7646
4 18.9791
5 24.228
6 18.3374
7 22.6016
8 13.4212
9 20.4051
10 23.3281
11 22.1407
12 16.9062
13 22.9736
14 22.449
15 22.4666
16 14.2581
17 20.2595
18 21.8082
19 17.6536
20 28.0585
;
param S:=
1 7
2 11
3 14
4 10
5 9
6 13
7 8
8 7
9 4
10 11
11 10
12 7
13 12
14 9
15 10
16 8
17 7
18 15
19 14
20 9
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0  10  13   9   8   8   7   6   9   6   9  12  11  14   9   3   6  14   9  14
 2  10   0  11  13  12  16  11   6  13  14  13  16   3  18   7  11  10  18  15  18
 3  13  11   0  16  15  19  14   9  16  17  16  19  12  21  10  14  13  17  20  21
 4   9  13  16   0   3  15   4   9  12  13   2  15  14  17  12  10   5   7  16  15
 5   8  12  15   3   0  14   3   8  11  12   3  14  13  16  11   9   4   8  15  16
 6   8  16  19  15  14   0  13  12  15   4  15  14  15  12  15   7  12  20   3  20
 7   7  11  14   4   3  13   0   7  10  11   4  13  12  15  10   8   3   9  14  15
 8   6   6   9   9   8  12   7   0   9  10   9  12   7  14   3   7   6  14  13  14
 9   9  13  16  12  11  15  10   9   0  13  12   9  14  11  12  10   9  13  16   7
10   6  14  17  13  12   4  11  10  13   0  13  16  15  14  13   5  10  18   5  18
11   9  13  16   2   3  15   4   9  12  13   0  15  14  17  12  10   5   7  16  15
12  12  16  19  15  14  14  13  12   9  16  15   0  17   4  15  13  12  20  13  14
13  11   3  12  14  13  15  12   7  14  15  14  17   0  19   8  12  11  19  14  19
14  14  18  21  17  16  12  15  14  11  14  17   4  19   0  17  15  14  22  11  16
15   9   7  10  12  11  15  10   3  12  13  12  15   8  17   0  10   9  15  16  17
16   3  11  14  10   9   7   8   7  10   5  10  13  12  15  10   0   7  15   8  15
17   6  10  13   5   4  12   3   6   9  10   5  12  11  14   9   7   0  10  13  14
18  14  18  17   7   8  20   9  14  13  18   7  20  19  22  15  15  10   0  21   8
19   9  15  20  16  15   3  14  13  16   5  16  13  14  11  16   8  13  21   0  21
20  14  18  21  15  16  20  15  14   7  18  15  14  19  16  17  15  14   8  21   0
;
param C =60;
