param D:=
1 20.4439
2 17.0322
3 19.4703
4 22.9736
5 21.0676
6 20.8998
7 16.7646
8 12.6229
9 20.608
10 17.3706
11 23.5728
12 28.0585
13 23.0918
14 21.9285
15 22.7393
16 20.1509
17 25.5927
18 23.3281
19 22.2564
20 17.6536
;
param S:=
1 10
2 15
3 13
4 12
5 17
6 5
7 14
8 16
9 7
10 18
11 12
12 9
13 6
14 15
15 13
16 8
17 13
18 11
19 13
20 14
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0   7  15  14  19  13  16  18   9  20  10  17   8  17  15  16  15   3  15   6
 2   7   0  10  11  24  14  21  23  14  25   5  22  13  14  20  21  20   6  10   3
 3  15  10   0   3  16  16  13  15  12  17  13  20   9  14  12  19  12  16   2  13
 4  14  11   3   0  15  15  12  14  11  16  14  19   8  13  11  18  11  15   3  14
 5  19  24  16  15   0  20  15   3  16   3  27  14  13  18  16  15   6  20  16  23
 6  13  14  16  15  20   0  17  19  10  21   9  12   9  18  16  11  16  14  16  15
 7  16  21  13  12  15  17   0  16  13  14  24  21  10   9   3  20  13  17  13  20
 8  18  23  15  14   3  19  16   0  15   4  26  15  12  17  15  16   5  19  15  22
 9   9  14  12  11  16  10  13  15   0  13  17  14   3  14  12  13  12  10  12  13
10  20  25  17  16   3  21  14   4  13   0  28  11  14  19  15  12   7  21  17  24
11  10   5  13  14  27   9  24  26  17  28   0  19  16  17  23  18  23   9  13   6
12  17  22  20  19  14  12  21  15  14  11  19   0  13  22  20   3  18  18  20  21
13   8  13   9   8  13   9  10  12   3  14  16  13   0  11   9  12   9   9   9  12
14  17  14  14  13  18  18   9  17  14  19  17  22  11   0   8  21  14  18  14  17
15  15  20  12  11  16  16   3  15  12  15  23  20   9   8   0  19  12  16  12  19
16  16  21  19  18  15  11  20  16  13  12  18   3  12  21  19   0  19  17  19  20
17  15  20  12  11   6  16  13   5  12   7  23  18   9  14  12  19   0  16  12  19
18   3   6  16  15  20  14  17  19  10  21   9  18   9  18  16  17  16   0  16   5
19  15  10   2   3  16  16  13  15  12  17  13  20   9  14  12  19  12  16   0  13
20   6   3  13  14  23  15  20  22  13  24   6  21  12  17  19  20  19   5  13   0
;
param C =60;
