param D:=
1 22.1781
2 23.8176
3 16.4981
4 19.5668
5 21.0676
6 22.2727
7 20.608
8 16.2009
9 17.3615
10 20.6109
11 21.8394
12 19.5285
13 22.9736
14 19.9581
15 18.3257
16 23.3281
17 25.2937
18 19.0738
19 17.6536
20 17.2902
;
param S:=
1 10
2 4
3 20
4 10
5 17
6 12
7 7
8 10
9 16
10 6
11 17
12 18
13 12
14 9
15 14
16 11
17 14
18 14
19 14
20 12
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0   8  16   6   9  16   9  18  12   6  13  14   8  11  10  13  16   6  16   4
 2   8   0  18   8  15  14   3  12  14   4  15  16  10   7  12   9  10  12  12  10
 3  16  18   0  12   9  12  19  28  22  16   5   4  18  21  20  23  12  12  26  14
 4   6   8  12   0  13  20   9  18  12   6   9  10   8  11  10  13  16  10  16   8
 5   9  15   9  13   0   9  16  25  19  13  12  11  15  18  17  20   9   5  23   7
 6  16  14  12  20   9   0  13  20  26  16  15  14  22  19  24  21   6  12  24  14
 7   9   3  19   9  16  13   0  15  15   5  16  17  11   8  13  10   9  13  13  11
 8  18  12  28  18  25  20  15   0  14  14  25  26  18  15  16  13  22  22  10  20
 9  12  14  22  12  19  26  15  14   0  12  19  20   6  15   4  13  22  16  10  14
10   6   4  16   6  13  16   5  14  12   0  13  14   8   5  10   7  12  10  10   8
11  13  15   5   9  12  15  16  25  19  13   0   3  15  18  17  20  15  15  23  15
12  14  16   4  10  11  14  17  26  20  14   3   0  16  19  18  21  14  14  24  16
13   8  10  18   8  15  22  11  18   6   8  15  16   0  13   4  15  18  12  14  10
14  11   7  21  11  18  19   8  15  15   5  18  19  13   0  15   4  15  15   7  13
15  10  12  20  10  17  24  13  16   4  10  17  18   4  15   0  15  20  14  12  12
16  13   9  23  13  20  21  10  13  13   7  20  21  15   4  15   0  17  17   5  15
17  16  10  12  16   9   6   9  22  22  12  15  14  18  15  20  17   0  12  20  14
18   6  12  12  10   5  12  13  22  16  10  15  14  12  15  14  17  12   0  20   4
19  16  12  26  16  23  24  13  10  10  10  23  24  14   7  12   5  20  20   0  18
20   4  10  14   8   7  14  11  20  14   8  15  16  10  13  12  15  14   4  18   0
;
param C =60;
