param D:=
1 23.0918
2 16.6416
3 23.3171
4 25.2937
5 17.2902
6 18.3374
7 13.4373
8 22.2587
9 20.608
10 22.4666
11 22.2564
12 23.4671
13 20.2595
14 25.0158
15 16.933
16 25.3194
17 25.6007
18 21.8394
19 19.5285
20 28.0585
;
param S:=
1 6
2 8
3 13
4 14
5 12
6 13
7 19
8 10
9 7
10 10
11 13
12 12
13 7
14 14
15 10
16 12
17 11
18 17
19 18
20 9
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0   4   9  10   8  11  15   6   3   6   9   8   3  10   8   8  15  13  14  13
 2   4   0   7   8  12  13  19  10   3  10  13   6   3  14  10  12  17  17  18  15
 3   9   7   0   3  15  18  24  15   8  15  18   3   8  19  15  15  22  16  15  12
 4  10   8   3   0  14  19  25  16   9  16  19   4   9  20  16  14  23  15  14  11
 5   8  12  15  14   0  17  17   8  11   4  11  16  11  12  14   2  21  15  16  19
 6  11  13  18  19  17   0  14  15  12  15  14  17  12  19   5  17  10  22  23  20
 7  15  19  24  25  17  14   0  15  18  15  14  23  18   7  17  17  16  16  17  26
 8   6  10  15  16   8  15  15   0   9   6   5  14   9  10  12   8  19  13  14  17
 9   3   3   8   9  11  12  18   9   0   9  12   7   2  13   9  11  16  16  17  14
10   6  10  15  16   4  15  15   6   9   0   9  14   9  10  12   4  19  13  14  17
11   9  13  18  19  11  14  14   5  12   9   0  17  12  13  15  11  16  16  17  20
12   8   6   3   4  16  17  23  14   7  14  17   0   7  18  14  16  21  17  16  13
13   3   3   8   9  11  12  18   9   2   9  12   7   0  13   9  11  16  16  17  14
14  10  14  19  20  12  19   7  10  13  10  13  18  13   0  16  12  21  11  12  21
15   8  10  15  16  14   5  17  12   9  12  15  14   9  16   0  14  13  19  20  17
16   8  12  15  14   2  17  17   8  11   4  11  16  11  12  14   0  21  15  16  19
17  15  17  22  23  21  10  16  19  16  19  16  21  16  21  13  21   0  26  27  18
18  13  17  16  15  15  22  16  13  16  13  16  17  16  11  19  15  26   0   3  20
19  14  18  15  14  16  23  17  14  17  14  17  16  17  12  20  16  27   3   0  19
20  13  15  12  11  19  20  26  17  14  17  20  13  14  21  17  19  18  20  19   0
;
param C =60;
