param D:=
1 22.6016
2 22.2587
3 22.2727
4 22.0965
5 20.4051
6 19.3168
7 25.2937
8 25.5927
9 20.349
10 16.933
11 21.0676
12 24.8836
13 23.5728
14 23.9242
15 23.4671
16 16.637
17 8.435
18 24.7364
19 24.228
20 19.9581
;
param S:=
1 8
2 10
3 12
4 18
5 4
6 10
7 14
8 13
9 12
10 10
11 17
12 7
13 12
14 10
15 12
16 14
17 13
18 16
19 9
20 9
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0  10  12  18  10  10   8  13  12  10  15   7  18  10   6  14   7  16   3   9
 2  10   0  20  10  12   2  16   9   4  12  13   3  16   6  14  16  15  12  11  11
 3  12  20   0  28  10  20   6  13  22  20   9  17  22  20   8  24   7  16  11  19
 4  18  10  28   0  20  10  24  17   8  12  21  11   8  14  22   8  23  20  19  13
 5  10  12  10  20   0  12  16  15  14  12  19   9  14  12  14  16  15  18  11  11
 6  10   2  20  10  12   0  16   9   4  12  13   3  16   6  14  16  15  12  11  11
 7   8  16   6  24  16  16   0  13  18  16   9  13  24  16   4  20   3  16   7  15
 8  13   9  13  17  15   9  13   0  11  15   6   8  23   9  15  19  14  15  14  14
 9  12   4  22   8  14   4  18  11   0  14  15   5  14   8  16  14  17  14  13  13
10  10  12  20  12  12  12  16  15  14   0  19   9  10  12  14   6  15  18  11   3
11  15  13   9  21  19  13   9   6  15  19   0  12  27  13  11  23  10  13  14  18
12   7   3  17  11   9   3  13   8   5   9  12   0  17   5  11  13  12  11   8   8
13  18  16  22   8  14  16  24  23  14  10  27  17   0  20  22   6  23  26  19  11
14  10   6  20  14  12   6  16   9   8  12  13   5  20   0  14  16  15   6  11  11
15   6  14   8  22  14  14   4  15  16  14  11  11  22  14   0  18   3  18   5  13
16  14  16  24   8  16  16  20  19  14   6  23  13   6  16  18   0  19  22  15   7
17   7  15   7  23  15  15   3  14  17  15  10  12  23  15   3  19   0  17   6  14
18  16  12  16  20  18  12  16  15  14  18  13  11  26   6  18  22  17   0  17  17
19   3  11  11  19  11  11   7  14  13  11  14   8  19  11   5  15   6  17   0  10
20   9  11  19  13  11  11  15  14  13   3  18   8  11  11  13   7  14  17  10   0
;
param C =60;
