param D:=
1 12.6229
2 22.17
3 20.2119
4 22.1407
5 19.1498
6 18.3374
7 23.5005
8 14.2771
9 18.5767
10 15.8058
11 23.0918
12 21.8082
13 14.6119
14 17.6352
15 19.5668
16 23.201
17 20.4986
18 16.4981
19 21.2646
20 25.3194
;
param S:=
1 16
2 11
3 12
4 10
5 11
6 13
7 16
8 9
9 12
10 9
11 6
12 15
13 11
14 20
15 10
16 13
17 3
18 20
19 8
20 12
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0   7  12  14  13  21  18  15  20  11  12   9   7  22  12  21  15  10  22   6
 2   7   0  15  13   8  16  13  12  15   6   7  14   2  17   7  16  10  15  17   3
 3  12  15   0   4  15  17  20   5  16  13   8   5  15  24  14  17  11  14  18  16
 4  14  13   4   0  13  15  18   3  14  11   6   7  13  22  12  15   9  16  16  14
 5  13   8  15  13   0  16   7  12  15   4   7  18   8  15   7  16  10  17  17   9
 6  21  16  17  15  16   0  11  14   3  14  11  20  16  13  15   2  12  25  13  17
 7  18  13  20  18   7  11   0  17  12   9  12  23  13  10  12  11  15  22  16  14
 8  15  12   5   3  12  14  17   0  13  10   5   8  12  21  11  14   8  17  15  13
 9  20  15  16  14  15   3  12  13   0  13  10  19  15  14  14   3  11  24  14  16
10  11   6  13  11   4  14   9  10  13   0   5  16   6  13   3  14   8  13  15   7
11  12   7   8   6   7  11  12   5  10   5   0  11   7  16   6  11   5  16  12   8
12   9  14   5   7  18  20  23   8  19  16  11   0  14  27  17  20  14  11  21  13
13   7   2  15  13   8  16  13  12  15   6   7  14   0  17   7  16  10  15  17   3
14  22  17  24  22  15  13  10  21  14  13  16  27  17   0  10  13  19  20  18  18
15  12   7  14  12   7  15  12  11  14   3   6  17   7  10   0  15   9  12  16   8
16  21  16  17  15  16   2  11  14   3  14  11  20  16  13  15   0  12  25  13  17
17  15  10  11   9  10  12  15   8  11   8   5  14  10  19   9  12   0  19   9  11
18  10  15  14  16  17  25  22  17  24  13  16  11  15  20  12  25  19   0  26  14
19  22  17  18  16  17  13  16  15  14  15  12  21  17  18  16  13   9  26   0  18
20   6   3  16  14   9  17  14  13  16   7   8  13   3  18   8  17  11  14  18   0
;
param C =60;
