param D:=
1 23.5597
2 22.1407
3 14.6119
4 15.8346
5 16.5718
6 23.5005
7 13.3673
8 25.3194
9 21.9285
10 20.349
11 20.0156
12 14.2771
13 15.0177
14 24.1118
15 20.4725
16 8.435
17 22.4666
18 14.2581
19 18.3374
20 25.2937
;
param S:=
1 17
2 10
3 11
4 7
5 11
6 16
7 7
8 12
9 15
10 12
11 5
12 9
13 11
14 15
15 4
16 13
17 10
18 8
19 13
20 14
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0  19  14  16  26   3  22  15  14   7  20  18  12  18  15  22  13  15  10  23
 2  19   0  13   9  13  18  15  14  17  14  13   3  13  17   8   5  12  10  15   6
 3  14  13   0  10  18  13  16   3  12   9  14  12  14  12   9  16   3  11  16  15
 4  16   9  10   0  16  15  12  11  14  11  10   8   6  14   3  12   9   3   8  13
 5  26  13  18  16   0  25   6  17  24  21   8  14  20  20  13  10  19  17  22   9
 6   3  18  13  15  25   0  21  14  15   6  19  17  13  17  14  21  12  16  11  22
 7  22  15  16  12   6  21   0  17  20  17   4  14  16  20   9  14  15  13  18  13
 8  15  14   3  11  17  14  17   0  13  10  15  13  15  13  10  15   4  12  17  14
 9  14  17  12  14  24  15  20  13   0  13  18  16  18  10  13  20  11  15  18  21
10   7  14   9  11  21   6  17  10  13   0  15  13  15  13  10  17   8  12  15  18
11  20  13  14  10   8  19   4  15  18  15   0  12  14  18   7  16  13  11  16  15
12  18   3  12   8  14  17  14  13  16  13  12   0  12  16   7   6  11   9  14   7
13  12  13  14   6  20  13  16  15  18  15  14  12   0  18   7  16  13   5   4  17
14  18  17  12  14  20  17  20  13  10  13  18  16  18   0  13  18  11  15  20  17
15  15   8   9   3  13  14   9  10  13  10   7   7   7  13   0  11   8   4   9  12
16  22   5  16  12  10  21  14  15  20  17  16   6  16  18  11   0  15  13  18   3
17  13  12   3   9  19  12  15   4  11   8  13  11  13  11   8  15   0  10  15  16
18  15  10  11   3  17  16  13  12  15  12  11   9   5  15   4  13  10   0   7  14
19  10  15  16   8  22  11  18  17  18  15  16  14   4  20   9  18  15   7   0  19
20  23   6  15  13   9  22  13  14  21  18  15   7  17  17  12   3  16  14  19   0
;
param C =60;
