param D:=
1 17.3706
2 23.3281
3 25.7842
4 24.1118
5 16.637
6 23.5597
7 8.435
8 17.8329
9 23.201
10 21.8394
11 26.2551
12 23.9242
13 20.4051
14 20.2119
15 20.8998
16 19.9296
17 18.9791
18 24.1461
19 18.6004
20 21.5758
;
param S:=
1 18
2 11
3 3
4 15
5 14
6 17
7 13
8 14
9 13
10 17
11 9
12 10
13 4
14 12
15 5
16 15
17 10
18 8
19 15
20 4
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0  21  17  13  24  21   7   6  23  11  19  14  16   8  21  19  10  18  25  20
 2  21   0  10  18   5  12  16  17   4  20   4  13  13  15  14  14  13   5   6  13
 3  17  10   0  14  13  16  12  13  12  16   8   9   5  11   4  14   9   7  14   3
 4  13  18  14   0  21  18  18  17  20   4  16   5  17  19  18  16  17  15  22  17
 5  24   5  13  21   0   9  19  20   3  23   7  16  16  18  15  11  16   8   3  16
 6  21  12  16  18   9   0  22  23  10  20  14  13  19  21  18   4  19  15   8  19
 7   7  16  12  18  19  22   0   3  18  16  14  15  15   3  16  20   5  13  20  15
 8   6  17  13  17  20  23   3   0  19  15  15  16  16   4  17  21   6  14  21  16
 9  23   4  12  20   3  10  18  19   0  22   6  15  15  17  16  12  15   7   4  15
10  11  20  16   4  23  20  16  15  22   0  18   7  19  17  20  18  19  17  24  19
11  19   4   8  16   7  14  14  15   6  18   0  11  11  13  12  16  11   3   8  11
12  14  13   9   5  16  13  15  16  15   7  11   0  12  14  13  11  12  10  17  12
13  16  13   5  17  16  19  15  16  15  19  11  12   0  14   7  17  12  10  17   6
14   8  15  11  19  18  21   3   4  17  17  13  14  14   0  15  19   4  12  19  14
15  21  14   4  18  15  18  16  17  16  20  12  13   7  15   0  18  13  11  12   3
16  19  14  14  16  11   4  20  21  12  18  16  11  17  19  18   0  17  15  10  17
17  10  13   9  17  16  19   5   6  15  19  11  12  12   4  13  17   0  10  17  12
18  18   5   7  15   8  15  13  14   7  17   3  10  10  12  11  15  10   0   9  10
19  25   6  14  22   3   8  20  21   4  24   8  17  17  19  12  10  17   9   0  13
20  20  13   3  17  16  19  15  16  15  19  11  12   6  14   3  17  12  10  13   0
;
param C =60;
