param D:=
1 20.4725
2 23.5728
3 17.3615
4 20.7318
5 20.6109
6 19.3168
7 21.6849
8 21.2646
9 23.3281
10 15.8058
11 19.5668
12 8.435
13 17.0322
14 23.075
15 12.6229
16 26.2551
17 15.6768
18 20.3697
19 22.9736
20 22.2587
;
param S:=
1 4
2 12
3 16
4 6
5 6
6 10
7 15
8 8
9 11
10 9
11 10
12 13
13 15
14 17
15 16
16 9
17 17
18 13
19 12
20 10
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0  14  14   8   2   8  13  10   7   7   8  11  11  15  14   5  15  11  10   8
 2  14   0  10  16  14  16  25   6   9  17  20  23   5   9  26  11  15  19  14  16
 3  14  10   0  20  12   8  17  16  13   9  12  21   7   3  18  15  13  15   6   8
 4   8  16  20   0  10  14  19  12  15  13  14  15  19  21  18  13  21  17  16  14
 5   2  14  12  10   0   6  11  12   7   5   6  11  11  13  12   5  13   9   8   6
 6   8  16   8  14   6   0  11  16  13   3   6  15  13   9  12  11  13   9   4   2
 7  13  25  17  19  11  11   0  21  18  10  11  12  22  18   3  16  18  14  13  11
 8  10   6  16  12  12  16  21   0  15  15  16  19  11  15  22  15  21  19  18  16
 9   7   9  13  15   7  13  18  15   0  12  13  16   6  12  19   4  18  16  15  13
10   7  17   9  13   5   3  10  15  12   0   3  14  14  10  11  10  10   6   5   3
11   8  20  12  14   6   6  11  16  13   3   0  15  17  13  12  11   7   3   8   6
12  11  23  21  15  11  15  12  19  16  14  15   0  20  22  11  14  22  18  17  15
13  11   5   7  19  11  13  22  11   6  14  17  20   0   6  23   8  12  16  11  13
14  15   9   3  21  13   9  18  15  12  10  13  22   6   0  19  14  12  16   7   9
15  14  26  18  18  12  12   3  22  19  11  12  11  23  19   0  17  19  15  14  12
16   5  11  15  13   5  11  16  15   4  10  11  14   8  14  17   0  18  14  13  11
17  15  15  13  21  13  13  18  21  18  10   7  22  12  12  19  18   0   6  15  13
18  11  19  15  17   9   9  14  19  16   6   3  18  16  16  15  14   6   0  11   9
19  10  14   6  16   8   4  13  18  15   5   8  17  11   7  14  13  15  11   0   4
20   8  16   8  14   6   2  11  16  13   3   6  15  13   9  12  11  13   9   4   0
;
param C =60;
