param D:=
1 19.1714
2 18.9898
3 25.6007
4 18.6004
5 23.5728
6 25.5927
7 22.9736
8 10.917
9 22.1407
10 16.637
11 17.993
12 24.8836
13 20.349
14 13.4373
15 13.3673
16 21.9285
17 22.449
18 19.0738
19 23.4671
20 21.8082
;
param S:=
1 19
2 21
3 11
4 15
5 12
6 13
7 12
8 7
9 10
10 14
11 14
12 7
13 12
14 19
15 7
16 15
17 9
18 14
19 12
20 15
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0   4  28  26  29  14  17  18  17  25  13  14  17  18  20  14  26  13  15  12
 2   4   0  30  28  31  10  19  20  13  27   9  16  19  20  16  16  28   9  11   8
 3  28  30   0   6   3  22  17  16  19   9  23  16  17  16  16  20   4  23  21  24
 4  26  28   6   0   3  20  13  10  17   3  21  14  13  12  20  16   8  21  19  22
 5  29  31   3   3   0  23  14  13  20   6  24  17  14  13  17  17   5  24  22  25
 6  14  10  22  20  23   0  11  12  15  19   3   8  11  18  18  14  20   3  15  12
 7  17  19  17  13  14  11   0  11  14  14  12   5   2  15  17  13  19  12  16  19
 8  18  20  16  10  13  12  11   0   9   9  13   6  11  18  12  14  14  13  11  14
 9  17  13  19  17  20  15  14   9   0  16  16   9  14  21  15  17  17  16   4   7
10  25  27   9   3   6  19  14   9  16   0  20  13  14  13  19  17  11  20  18  21
11  13   9  23  21  24   3  12  13  16  20   0   9  12  19  19  15  21   2  14  11
12  14  16  16  14  17   8   5   6   9  13   9   0   5  14  12  10  14   9  11  14
13  17  19  17  13  14  11   2  11  14  14  12   5   0  15  17  13  19  12  16  19
14  18  20  16  12  13  18  15  18  21  13  19  14  15   0  24   6  18  19  23  26
15  20  16  16  20  17  18  17  12  15  19  19  12  17  24   0  20  14  19  15  10
16  14  16  20  16  17  14  13  14  17  17  15  10  13   6  20   0  22  15  19  22
17  26  28   4   8   5  20  19  14  17  11  21  14  19  18  14  22   0  21  19  22
18  13   9  23  21  24   3  12  13  16  20   2   9  12  19  19  15  21   0  14  11
19  15  11  21  19  22  15  16  11   4  18  14  11  16  23  15  19  19  14   0   5
20  12   8  24  22  25  12  19  14   7  21  11  14  19  26  10  22  22  11   5   0
;
param C =60;
