param D:=
1 20.2595
2 23.3281
3 23.8176
4 17.6536
5 22.9736
6 19.0738
7 19.4703
8 23.5005
9 24.8836
10 18.4437
11 22.1781
12 20.7318
13 20.4725
14 24.3877
15 15.1793
16 22.4666
17 23.1504
18 14.6119
19 20.608
20 24.1118
;
param S:=
1 7
2 11
3 4
4 14
5 12
6 14
7 13
8 16
9 7
10 14
11 10
12 6
13 4
14 16
15 12
16 10
17 11
18 11
19 7
20 15
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0  10   3  13  11  13  12  15   6  13   9  11   5  15  11   9   6  10   2  14
 2  10   0   9   5  15  17  16  13  10  15  13  15   7  19   3  13  14  14  10  18
 3   3   9   0  12  10  12  11  14   5  12   8   8   2  14  10   8   7   9   3  13
 4  13   5  12   0  14  20  13  10  13  12  16  18  10  16   4  16  17  17  13  21
 5  11  15  10  14   0  12   3   6   5   4   8  16  10  14  16   8  15   9  11  13
 6  13  17  12  20  12   0  13  16   9  14   6  18  12  16  18   6  15   5  13  15
 7  12  16  11  13   3  13   0   5   6   3   9  17  11  15  15   9  16  10  12  14
 8  15  13  14  10   6  16   5   0   9   4  12  20  14  14  12  12  19  13  15  17
 9   6  10   5  13   5   9   6   9   0   7   5  11   5  11  11   5  10   6   6  10
10  13  15  12  12   4  14   3   4   7   0  10  18  12  16  14  10  17  11  13  15
11   9  13   8  16   8   6   9  12   5  10   0  14   8  12  14   2  13   3   9  11
12  11  15   8  18  16  18  17  20  11  18  14   0   8  20  16  14  15  15  11  19
13   5   7   2  10  10  12  11  14   5  12   8   8   0  14   8   8   9   9   5  13
14  15  19  14  16  14  16  15  14  11  16  12  20  14   0  18  12  19  13  15  11
15  11   3  10   4  16  18  15  12  11  14  14  16   8  18   0  14  15  15  11  19
16   9  13   8  16   8   6   9  12   5  10   2  14   8  12  14   0  13   3   9  11
17   6  14   7  17  15  15  16  19  10  17  13  15   9  19  15  13   0  14   6  18
18  10  14   9  17   9   5  10  13   6  11   3  15   9  13  15   3  14   0  10  12
19   2  10   3  13  11  13  12  15   6  13   9  11   5  15  11   9   6  10   0  14
20  14  18  13  21  13  15  14  17  10  15  11  19  13  11  19  11  18  12  14   0
;
param C =60;
