param D:=
1 20.4725
2 20.608
3 18.4437
4 17.6352
5 16.637
6 20.2595
7 23.9242
8 20.3697
9 24.1118
10 22.4666
11 18.9791
12 20.6109
13 23.0918
14 19.9581
15 22.17
16 16.8368
17 23.5005
18 23.5597
19 23.1504
20 23.3281
;
param S:=
1 4
2 7
3 14
4 20
5 14
6 7
7 10
8 13
9 15
10 10
11 10
12 6
13 6
14 9
15 11
16 18
17 16
18 17
19 11
20 11
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0   5  12  18  10   5   8  11  13   8   8   2   4   5   9  16  14  15   9   7
 2   5   0  13  19  13   2   9  12  14   9   5   5   3   8  10  17  15  16   6  10
 3  12  13   0  12  12  13  10  13  15  10  16  10  10  15  11  14   4   5  17  15
 4  18  19  12   0  12  19  12   9  15  16  22  16  16  17  17   4  10   9  23  15
 5  10  13  12  12   0  13  16  19  21  16  16  10  12   7  17  14  10   9  17   5
 6   5   2  13  19  13   0   9  12  14   9   5   5   3   8  10  17  15  16   6  10
 7   8   9  10  12  16   9   0   5   5   6  12   6   6  11   7  10  12  13  13  13
 8  11  12  13   9  19  12   5   0   8   9  15   9   9  14  10   7  15  16  16  16
 9  13  14  15  15  21  14   5   8   0  11  17  11  11  16  12  13  17  18  18  18
10   8   9  10  16  16   9   6   9  11   0  12   6   6  11   3  14  12  13  13  13
11   8   5  16  22  16   5  12  15  17  12   0   8   6  11  13  20  18  19   3  13
12   2   5  10  16  10   5   6   9  11   6   8   0   2   5   7  14  12  13   9   7
13   4   3  10  16  12   3   6   9  11   6   6   2   0   7   7  14  12  13   7   9
14   5   8  15  17   7   8  11  14  16  11  11   5   7   0  12  19  15  14  12   4
15   9  10  11  17  17  10   7  10  12   3  13   7   7  12   0  15  13  14  14  14
16  16  17  14   4  14  17  10   7  13  14  20  14  14  19  15   0  12  11  21  17
17  14  15   4  10  10  15  12  15  17  12  18  12  12  15  13  12   0   3  19  13
18  15  16   5   9   9  16  13  16  18  13  19  13  13  14  14  11   3   0  20  12
19   9   6  17  23  17   6  13  16  18  13   3   9   7  12  14  21  19  20   0  14
20   7  10  15  15   5  10  13  16  18  13  13   7   9   4  14  17  13  12  14   0
;
param C =60;
