param D:=
1 8.435
2 19.4703
3 19.0738
4 17.0322
5 19.9581
6 18.3257
7 22.2564
8 18.6004
9 21.6311
10 17.8329
11 23.5728
12 21.0676
13 17.6536
14 18.5767
15 18.4437
16 23.9242
17 21.6849
18 20.8998
19 13.3673
20 23.8176
;
param S:=
1 13
2 13
3 14
4 15
5 9
6 14
7 13
8 15
9 13
10 14
11 12
12 17
13 14
14 12
15 14
16 10
17 15
18 5
19 7
20 4
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0  18  13  20  14  19  18  20  14   3  23  10  19  17  19  15  12  16  14   9
 2  18   0  13  10  14   3   2  12  12  19  13  16  13  15   3   9  14  16  18  11
 3  13  13   0  21  15  14  13  21   3  12  24   5  20  18  14  10   3  17  19  12
 4  20  10  21   0   8   9  10   2  20  21   5  24   3   5   9  17  22  14  20  13
 5  14  14  15   8   0  15  14   8  14  15  11  18   7   5  15  11  16  12  14   7
 6  19   3  14   9  15   0   3  11  13  20  12  17  12  14   2  10  15  17  19  12
 7  18   2  13  10  14   3   0  12  12  19  13  16  13  15   3   9  14  16  18  11
 8  20  12  21   2   8  11  12   0  20  21   3  24   3   5  11  17  22  12  20  13
 9  14  12   3  20  14  13  12  20   0  13  23   6  19  17  13   9   4  16  18  11
10   3  19  12  21  15  20  19  21  13   0  24   9  20  18  20  16  11  17  13  10
11  23  13  24   5  11  12  13   3  23  24   0  27   6   8  12  20  25   9  17  14
12  10  16   5  24  18  17  16  24   6   9  27   0  23  21  17  13   4  20  16  15
13  19  13  20   3   7  12  13   3  19  20   6  23   0   4  12  16  21  15  19  12
14  17  15  18   5   5  14  15   5  17  18   8  21   4   0  14  14  19  15  17  10
15  19   3  14   9  15   2   3  11  13  20  12  17  12  14   0  10  15  17  19  12
16  15   9  10  17  11  10   9  17   9  16  20  13  16  14  10   0  11  13  15   8
17  12  14   3  22  16  15  14  22   4  11  25   4  21  19  15  11   0  18  18  13
18  16  16  17  14  12  17  16  12  16  17   9  20  15  15  17  13  18   0  10   7
19  14  18  19  20  14  19  18  20  18  13  17  16  19  17  19  15  18  10   0   9
20   9  11  12  13   7  12  11  13  11  10  14  15  12  10  12   8  13   7   9   0
;
param C =60;
