param D:=
1 15.0177
2 23.1504
3 22.449
4 21.6311
5 16.7646
6 13.147
7 25.6007
8 20.4986
9 17.3706
10 20.1509
11 22.2727
12 22.1781
13 18.5767
14 12.6229
15 15.6768
16 15.1793
17 19.1498
18 23.0918
19 20.349
20 18.3257
;
param S:=
1 11
2 11
3 9
4 13
5 14
6 17
7 11
8 3
9 18
10 8
11 12
12 10
13 12
14 16
15 17
16 12
17 11
18 6
19 12
20 14
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0  14  14  16  17  20  12  10  21  17  21  13   3  19  18   3  14   9  15  15
 2  14   0  18  16  17  12  20  10   9  15   9  13  15  13  20  15  14   7  15  17
 3  14  18   0  20  21  24   4  10  25  15  19  17  13  23  20  13  18  13  19  17
 4  16  16  20   0  13   6  22  12   7  19  13   5  17   5  16  17  10   9  11  13
 5  17  17  21  13   0  15  23  13  14  20  18  10  18  16  11  18  11  10  12  14
 6  20  12  24   6  15   0  26  16   3  15   9   9  21   3  20  21  14  13  15  17
 7  12  20   4  22  23  26   0  12  27  17  21  19  11  25  18  11  18  15  17  15
 8  10  10  10  12  13  16  12   0  17   7  11   9  11  15  16  11  10   5  11  13
 9  21   9  25   7  14   3  27  17   0  12   6  10  22   4  21  22  15  14  16  18
10  17  15  15  19  20  15  17   7  12   0   6  16  18  16  23  18  17  12  18  20
11  21   9  19  13  18   9  21  11   6   6   0  16  22  10  27  22  21  14  22  24
12  13  13  17   5  10   9  19   9  10  16  16   0  14   8  13  14   7   6   8  10
13   3  15  13  17  18  21  11  11  22  18  22  14   0  20  17   2  15  10  16  14
14  19  13  23   5  16   3  25  15   4  16  10   8  20   0  19  20  13  12  14  16
15  18  20  20  16  11  20  18  16  21  23  27  13  17  19   0  17  14  13  15  15
16   3  15  13  17  18  21  11  11  22  18  22  14   2  20  17   0  15  10  16  14
17  14  14  18  10  11  14  18  10  15  17  21   7  15  13  14  15   0   7   3   5
18   9   7  13   9  10  13  15   5  14  12  14   6  10  12  13  10   7   0   8  10
19  15  15  19  11  12  15  17  11  16  18  22   8  16  14  15  16   3   8   0   4
20  15  17  17  13  14  17  15  13  18  20  24  10  14  16  15  14   5  10   4   0
;
param C =60;
