param D:=
1 16.4981
2 16.933
3 15.1793
4 17.2902
5 20.2595
6 21.6849
7 20.7318
8 16.2009
9 17.6352
10 15.8058
11 27.7684
12 14.0984
13 20.1509
14 21.2646
15 21.5758
16 24.3877
17 21.9285
18 22.7393
19 23.0918
20 20.6109
;
param S:=
1 20
2 10
3 12
4 12
5 7
6 15
7 6
8 10
9 20
10 9
11 16
12 10
13 8
14 8
15 4
16 16
17 15
18 13
19 6
20 6
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0  22  24  14  19  11  20  28  20  13  10  16  18  26  22  16  15   9  16  16
 2  22   0   4  14   9  17  14  14  16  11  18  18  16  16  12  18  17  15   8   6
 3  24   4   0  16  11  19  16  12  14  13  20  20  18  14  14  18  19  17  10   8
 4  14  14  16   0  11   5  16  20  18   7   6  18  18  18  14  14  13  11   8   8
 5  19   9  11  11   0  14  11  15  19   8  15  15  13  13   9  15  14  12   3   5
 6  11  17  19   5  14   0  19  23  21  10   3  15  17  21  17  17  16  14  11  11
 7  20  14  16  16  11  19   0  14  24  13  18   6   4  12   8  20  19  17  10  10
 8  28  14  12  20  15  23  14   0  16  17  24  18  16   4   8  20  21  21  14  14
 9  20  16  14  18  19  21  24  16   0  13  22  28  26  18  22   6   7  13  16  16
10  13  11  13   7   8  10  13  17  13   0  11  17  15  15  11   9   8   6   5   5
11  10  18  20   6  15   3  18  24  22  11   0  14  16  22  18  18  17  15  12  12
12  16  18  20  18  15  15   6  18  28  17  14   0   4  16  12  24  23  21  14  14
13  18  16  18  18  13  17   4  16  26  15  16   4   0  14  10  22  21  19  12  12
14  26  16  14  18  13  21  12   4  18  15  22  16  14   0   6  22  21  19  12  12
15  22  12  14  14   9  17   8   8  22  11  18  12  10   6   0  18  17  15   8   8
16  16  18  18  14  15  17  20  20   6   9  18  24  22  22  18   0   3   9  12  12
17  15  17  19  13  14  16  19  21   7   8  17  23  21  21  17   3   0   8  11  11
18   9  15  17  11  12  14  17  21  13   6  15  21  19  19  15   9   8   0   9   9
19  16   8  10   8   3  11  10  14  16   5  12  14  12  12   8  12  11   9   0   2
20  16   6   8   8   5  11  10  14  16   5  12  14  12  12   8  12  11   9   2   0
;
param C =60;
