param D:=
1 19.1714
2 13.6385
3 17.6701
4 21.9285
5 17.3615
6 21.0676
7 17.3706
8 19.5668
9 26.2551
10 24.228
11 20.4439
12 16.4981
13 13.3673
14 21.6311
15 8.435
16 19.1498
17 21.6442
18 17.2902
19 18.6004
20 18.9898
;
param S:=
1 19
2 15
3 15
4 15
5 16
6 17
7 18
8 10
9 9
10 9
11 10
12 20
13 7
14 13
15 13
16 11
17 11
18 12
19 15
20 21
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0  20  10  14  21  10   9  11  20  18  21   3  20  14  14  16  16  15  26   4
 2  20   0  22  16   3  18  19  11  16  16  15  21  20  14  20   6  18  13  10  22
 3  10  22   0  22  23   6   3  17  16   8  17   9  12  10   4  18   6  11  22   6
 4  14  16  22   0  15  18  19   5  16  16  17  15  20  14  20  12  18  13  16  16
 5  21   3  23  15   0  19  20  12  15  17  14  22  21  15  21   7  19  14   9  23
 6  10  18   6  18  19   0   3  13  18  14  19   9  16   6  10  14  12   7  24   6
 7   9  19   3  19  20   3   0  14  19  11  20   8  13   7   7  15   9   8  25   5
 8  11  11  17   5  12  13  14   0  11  11  12  12  15   9  15   7  13   8  17  13
 9  20  16  16  16  15  18  19  11   0  10   3  21  14  14  14  12  12  13   8  22
10  18  16   8  16  17  14  11  11  10   0  11  17  14  14   6  12   4  13  16  14
11  21  15  17  17  14  19  20  12   3  11   0  22  15  15  15  13  13  14   7  23
12   3  21   9  15  22   9   8  12  21  17  22   0  19  13  13  17  15  14  27   3
13  20  20  12  20  21  16  13  15  14  14  15  19   0  18  14  16  16  17  20  16
14  14  14  10  14  15   6   7   9  14  14  15  13  18   0  14  10  16   3  20  10
15  14  20   4  20  21  10   7  15  14   6  15  13  14  14   0  16   4  15  20  10
16  16   6  18  12   7  14  15   7  12  12  13  17  16  10  16   0  14   9  14  18
17  16  18   6  18  19  12   9  13  12   4  13  15  16  16   4  14   0  15  18  12
18  15  13  11  13  14   7   8   8  13  13  14  14  17   3  15   9  15   0  19  11
19  26  10  22  16   9  24  25  17   8  16   7  27  20  20  20  14  18  19   0  28
20   4  22   6  16  23   6   5  13  22  14  23   3  16  10  10  18  12  11  28   0
;
param C =60;
