param D:=
1 20.349
2 19.5285
3 22.6016
4 23.8176
5 17.0322
6 21.5758
7 15.8058
8 13.4373
9 21.0676
10 23.0918
11 12.6229
12 17.3615
13 20.4986
14 24.8836
15 17.6536
16 25.3194
17 20.4051
18 20.0156
19 19.1714
20 17.2902
;
param S:=
1 12
2 18
3 8
4 4
5 15
6 4
7 9
8 19
9 17
10 6
11 16
12 16
13 3
14 7
15 14
16 12
17 4
18 5
19 19
20 12
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0  16  12  10  11  14   5  15  15   8  14   6  11   5  14  10  14  15  17  10
 2  16   0  18  16  25  20  11  17  11  14  12  20  17  13  24  16  20  21   3  16
 3  12  18   0   4  15  10   9  19  15   4  16  16   7   7  14  12  10  11  19  12
 4  10  16   4   0  13   6   7  17  15   2  14  14   3   5  12  10   6   7  17  10
 5  11  25  15  13   0  15  14  10  24  13  23   7  14  14   3  19  17  18  26  19
 6  14  20  10   6  15   0  11  21  19   8  18  18   5   9  16  14   6   7  21  14
 7   5  11   9   7  14  11   0  12  12   5  11   9   8   2  15   7  11  12  12   7
 8  15  17  19  17  10  21  12   0  22  15  21  11  18  14  13  17  21  22  18  17
 9  15  11  15  15  24  19  12  22   0  13   3  19  16  12  23   7  19  18  10   7
10   8  14   4   2  13   8   5  15  13   0  12  12   5   3  12   8   8   9  15   8
11  14  12  16  14  23  18  11  21   3  12   0  18  15  11  22   6  18  19  11   6
12   6  20  16  14   7  18   9  11  19  12  18   0  15   9  10  14  18  19  21  14
13  11  17   7   3  14   5   8  18  16   5  15  15   0   6  13  11   3   4  18  11
14   5  13   7   5  14   9   2  14  12   3  11   9   6   0  13   7   9  10  14   7
15  14  24  14  12   3  16  15  13  23  12  22  10  13  13   0  18  16  17  25  18
16  10  16  12  10  19  14   7  17   7   8   6  14  11   7  18   0  14  15  15   2
17  14  20  10   6  17   6  11  21  19   8  18  18   3   9  16  14   0   3  21  14
18  15  21  11   7  18   7  12  22  18   9  19  19   4  10  17  15   3   0  22  15
19  17   3  19  17  26  21  12  18  10  15  11  21  18  14  25  15  21  22   0  15
20  10  16  12  10  19  14   7  17   7   8   6  14  11   7  18   2  14  15  15   0
;
param C =60;
