param D:=
1 23.3281
2 19.4703
3 16.637
4 21.7513
5 23.8176
6 17.6536
7 22.17
8 24.3877
9 13.4212
10 20.4986
11 21.5758
12 22.2564
13 16.9062
14 20.3697
15 17.3706
16 20.4051
17 19.0738
18 22.4666
19 22.6016
20 18.9898
;
param S:=
1 11
2 13
3 14
4 18
5 4
6 14
7 11
8 16
9 7
10 3
11 4
12 13
13 7
14 13
15 18
16 4
17 14
18 10
19 8
20 21
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0  16   5  21   9   5  14  19  10  10  13  16  16  16  21  13  17  13  11  24
 2  16   0  13  17  11  13  10  15   8  12  15   2  18  12  17  15  13   9  13  20
 3   5  13   0  24  12   2  17  16  13  13  16  13  13  19  24  16  20  16  14  27
 4  21  17  24   0  16  24   9  20  11  17  20  17  23  17   2  18   6  10  14   3
 5   9  11  12  16   0  12   9  14   5   3   6  11   9  11  14   6  12   8   4  17
 6   5  13   2  24  12   0  17  16  13  13  16  13  13  19  24  16  20  16  14  27
 7  14  10  17   9   9  17   0  13   4  10  13  10  16  10   9  13   5   3  11  12
 8  19  15  16  20  14  16  13   0  11  15  18  15  21   5  20  18  16  12  16  17
 9  10   8  13  11   5  13   4  11   0   6   9   8  12   8  11   9   7   3   7  14
10  10  12  13  17   3  13  10  15   6   0   5  12   8  12  17   3  13   9   7  20
11  13  15  16  20   6  16  13  18   9   5   0  15   5  15  20   6  16  12  10  23
12  16   2  13  17  11  13  10  15   8  12  15   0  18  12  17  15  13   9  13  20
13  16  18  13  23   9  13  16  21  12   8   5  18   0  18  23   9  19  15  13  26
14  16  12  19  17  11  19  10   5   8  12  15  12  18   0  17  15  13   9  13  14
15  21  17  24   2  14  24   9  20  11  17  20  17  23  17   0  16   6  10  12   5
16  13  15  16  18   6  16  13  18   9   3   6  15   9  15  16   0  16  12  10  19
17  17  13  20   6  12  20   5  16   7  13  16  13  19  13   6  16   0   6  14   9
18  13   9  16  10   8  16   3  12   3   9  12   9  15   9  10  12   6   0  10  13
19  11  13  14  14   4  14  11  16   7   7  10  13  13  13  12  10  14  10   0  15
20  24  20  27   3  17  27  12  17  14  20  23  20  26  14   5  19   9  13  15   0
;
param C =60;
