param D:=
1 24.8836
2 22.4666
3 21.7513
4 21.8082
5 20.608
6 22.1781
7 24.228
8 25.7842
9 18.6004
10 17.6536
11 23.4671
12 21.0676
13 13.4373
14 19.0738
15 13.6385
16 19.3168
17 17.0322
18 22.9736
19 14.2581
20 24.3877
;
param S:=
1 7
2 10
3 18
4 15
5 7
6 10
7 9
8 3
9 15
10 14
11 12
12 17
13 19
14 14
15 15
16 10
17 15
18 12
19 8
20 16
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0   5  13  14   6   5   8   6  14  13  11  12  14   9   8   3  14   5   7  11
 2   5   0  10  15   9   2  11   9  17  16  14   9  15   6  11   6  17   8  10  12
 3  13  10   0   7  15  10  13  17  25  24  10   3  23   6  19  14  25  16  18  20
 4  14  15   7   0  10  15   8  14  22  21   5   8  26  11  22  17  22  19  15  23
 5   6   9  15  10   0   9   4   6  14  13   7  16  18  13  14   9  14  11   7  15
 6   5   2  10  15   9   0  11   9  17  16  14   9  15   6  11   6  17   8  10  12
 7   8  11  13   8   4  11   0   8  16  15   5  14  20  15  16  11  16  13   9  17
 8   6   9  17  14   6   9   8   0  14  13  11  16  18  13  14   9  14  11   7  15
 9  14  17  25  22  14  17  16  14   0   3  19  24  12  21  10  15   2  13   9  15
10  13  16  24  21  13  16  15  13   3   0  18  23  13  20  11  16   3  14   8  16
11  11  14  10   5   7  14   5  11  19  18   0  11  23  14  19  14  19  16  12  20
12  12   9   3   8  16   9  14  16  24  23  11   0  22   5  18  13  24  15  17  19
13  14  15  23  26  18  15  20  18  12  13  23  22   0  19  12  15  10  15  19   5
14   9   6   6  11  13   6  15  13  21  20  14   5  19   0  15  10  21  12  14  16
15   8  11  19  22  14  11  16  14  10  11  19  18  12  15   0   7   8   5  15  15
16   3   6  14  17   9   6  11   9  15  16  14  13  15  10   7   0  13   4  10  12
17  14  17  25  22  14  17  16  14   2   3  19  24  10  21   8  13   0  11   9  13
18   5   8  16  19  11   8  13  11  13  14  16  15  15  12   5   4  11   0  12  14
19   7  10  18  15   7  10   9   7   9   8  12  17  19  14  15  10   9  12   0  16
20  11  12  20  23  15  12  17  15  15  16  20  19   5  16  15  12  13  14  16   0
;
param C =60;
