param D:=
1 20.3697
2 22.7393
3 24.3877
4 21.6442
5 21.7513
6 21.2646
7 14.6119
8 22.17
9 20.6109
10 20.349
11 16.637
12 20.7318
13 20.4051
14 24.1118
15 22.2564
16 18.9898
17 20.0156
18 22.9736
19 17.0322
20 20.2119
;
param S:=
1 13
2 13
3 16
4 11
5 18
6 8
7 11
8 11
9 6
10 12
11 14
12 6
13 4
14 15
15 13
16 21
17 5
18 12
19 15
20 12
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0   6   5  16  17  19  10  10   9  11  19  17  15   8  12  14  16  11  16  17
 2   6   0   9  16  13  19  10  10   9  11  19  17  15   4  12  10  16  11  20  17
 3   5   9   0  19  20  22  13  13  12  14  16  20  18  11  15  17  19  14  13  20
 4  16  16  19   0  11  17  14  14   9  15  17  15  13  18  16  12  14  15  18   3
 5  17  13  20  11   0  24   9   9  14  16  24  16  18  11  17   3  17  16  25  10
 6  19  19  22  17  24   0  17  17  12  18  12  12  10  21  19  27  11  18  11  18
 7  10  10  13  14   9  17   0   2   7   9  17  15  13  12  10  12  14   9  18  15
 8  10  10  13  14   9  17   2   0   7   9  17  15  13  12  10  12  14   9  18  15
 9   9   9  12   9  14  12   7   7   0   8  10  10   8  11   9  17   9   8  11  10
10  11  11  14  15  16  18   9   9   8   0  14  16  14  13   3  19  15   2  11  16
11  19  19  16  17  24  12  17  17  10  14   0  18  16  21  13  27  17  14   3  18
12  17  17  20  15  16  12  15  15  10  16  18   0   4  19  17  17   3  16  19  16
13  15  15  18  13  18  10  13  13   8  14  16   4   0  17  15  19   3  14  17  14
14   8   4  11  18  11  21  12  12  11  13  21  19  17   0  14   8  18  13  22  19
15  12  12  15  16  17  19  10  10   9   3  13  17  15  14   0  20  16   3  10  17
16  14  10  17  12   3  27  12  12  17  19  27  17  19   8  20   0  18  19  28  11
17  16  16  19  14  17  11  14  14   9  15  17   3   3  18  16  18   0  15  18  15
18  11  11  14  15  16  18   9   9   8   2  14  16  14  13   3  19  15   0  11  16
19  16  20  13  18  25  11  18  18  11  11   3  19  17  22  10  28  18  11   0  19
20  17  17  20   3  10  18  15  15  10  16  18  16  14  19  17  11  15  16  19   0
;
param C =60;
