param D:=
1 23.5728
2 23.075
3 16.4981
4 16.6416
5 22.1781
6 21.6311
7 16.2009
8 17.6701
9 20.1509
10 24.3877
11 19.9581
12 17.993
13 25.3194
14 19.5677
15 17.6536
16 21.6849
17 20.3697
18 23.4671
19 20.349
20 26.2551
;
param S:=
1 12
2 17
3 20
4 8
5 10
6 13
7 10
8 15
9 8
10 16
11 9
12 14
13 12
14 18
15 14
16 15
17 13
18 12
19 12
20 9
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0   9  30  18  20  23   4  25  18  16  11  24  22   6   6  25  19  22  14  11
 2   9   0  23  17  13  16  13  24  23  13  14  17  15   3   9  18  16  21   7  14
 3  30  23   0  18  16  13  28   9  18  16  21  12  14  24  26  11  13  14  18  21
 4  18  17  18   0  10  13  16   9  14  16   9  14  12  18  14  15  13   6  12   9
 5  20  13  16  10   0   5  18  13  16  12  11   6   4  14  16   7   9  14   8  11
 6  23  16  13  13   5   0  21  10  19  15  14   3   3  17  19   4  12  15  11  14
 7   4  13  28  16  18  21   0  23  16  20  15  22  20  10  10  23  21  20  18  15
 8  25  24   9   9  13  10  23   0  11  23  16   9  11  25  21   8  20   5  19  16
 9  18  23  18  14  16  19  16  11   0  22  15  18  18  24  20  17  19  14  18  15
10  16  13  16  16  12  15  20  23  22   0  17  16  14  12  16  17   5  20  14  17
11  11  14  21   9  11  14  15  16  15  17   0  15  13  11   7  16  14  13  13   2
12  24  17  12  14   6   3  22   9  18  16  15   0   4  18  20   3  13  14  12  15
13  22  15  14  12   4   3  20  11  18  14  13   4   0  16  18   5  11  16  10  13
14   6   3  24  18  14  17  10  25  24  12  11  18  16   0   6  19  15  22   8  11
15   6   9  26  14  16  19  10  21  20  16   7  20  18   6   0  21  19  18  14   7
16  25  18  11  15   7   4  23   8  17  17  16   3   5  19  21   0  14  13  13  16
17  19  16  13  13   9  12  21  20  19   5  14  13  11  15  19  14   0  17  11  14
18  22  21  14   6  14  15  20   5  14  20  13  14  16  22  18  13  17   0  16  13
19  14   7  18  12   8  11  18  19  18  14  13  12  10   8  14  13  11  16   0  13
20  11  14  21   9  11  14  15  16  15  17   2  15  13  11   7  16  14  13  13   0
;
param C =60;
