param D:=
1 20.1509
2 17.6352
3 17.0322
4 17.0893
5 20.8998
6 16.2009
7 26.2551
8 19.3168
9 22.2727
10 22.0965
11 14.2581
12 19.9296
13 13.4373
14 17.993
15 21.5758
16 14.0984
17 19.5285
18 13.4212
19 18.6004
20 23.0918
;
param S:=
1 8
2 20
3 15
4 11
5 5
6 10
7 9
8 10
9 12
10 18
11 8
12 15
13 19
14 14
15 4
16 10
17 18
18 7
19 15
20 6
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0  26  21  17  11  16  15  16   6  24  14  21  25  18  10   4  20  13  21  12
 2  26   0   9  15  21  16  17  16  30   6  18  11   3  20  22  28  18  15  11  16
 3  21   9   0  12  14   9   8  13  25   5   9   8  10  21  15  23  25  14   2  13
 4  17  15  12   0  14  19  12   3  21   9  11   6  16  11  13  19  15   6  14   7
 5  11  21  14  14   0   7  12  13  15  17  11  18  22  17   3  13  21  10  12   9
 6  16  16   9  19   7   0  15  18  20  12  16  15  17  22   8  18  26  15   7  14
 7  15  17   8  12  12  15   0  11  19  13   3  16  18  15  11  17  19   8   8   7
 8  16  16  13   3  13  18  11   0  20  10  10   7  15  10  12  18  14   5  15   6
 9   6  30  25  21  15  20  19  20   0  28  18  25  29  12  14   4  14  17  25  14
10  24   6   5   9  17  12  13  10  28   0  14   5   7  18  18  26  22  13   7  14
11  14  18   9  11  11  16   3  10  18  14   0  15  19  14  10  16  18   7   9   6
12  21  11   8   6  18  15  16   7  25   5  15   0  12  15  17  23  19  10  10  11
13  25   3  10  16  22  17  18  15  29   7  19  12   0  19  21  27  17  14  12  15
14  18  20  21  11  17  22  15  10  12  18  14  15  19   0  16  16  14   7  21  10
15  10  22  15  13   3   8  11  12  14  18  10  17  21  16   0  12  20   9  13   8
16   4  28  23  19  13  18  17  18   4  26  16  23  27  16  12   0  18  15  23  14
17  20  18  25  15  21  26  19  14  14  22  18  19  17  14  20  18   0  13  25  14
18  13  15  14   6  10  15   8   5  17  13   7  10  14   7   9  15  13   0  14   3
19  21  11   2  14  12   7   8  15  25   7   9  10  12  21  13  23  25  14   0  13
20  12  16  13   7   9  14   7   6  14  14   6  11  15  10   8  14  14   3  13   0
;
param C =60;
