param D:=
1 23.8176
2 20.4051
3 20.2915
4 17.0322
5 21.5758
6 23.4671
7 15.4257
8 18.4437
9 25.0158
10 16.8368
11 14.6119
12 18.3257
13 19.5668
14 13.3673
15 25.3194
16 20.0156
17 24.1461
18 18.9898
19 24.228
20 15.1793
;
param S:=
1 4
2 4
3 9
4 15
5 4
6 12
7 15
8 14
9 14
10 18
11 11
12 14
13 10
14 7
15 12
16 5
17 8
18 21
19 9
20 12
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0   6   7  13   6   8  13  12  12  16   9  12   8   9  10   7   6  17   5  10
 2   6   0  11  17   6  14  17  16  16  20  13  16  12   5  14   3  10  19  11  14
 3   7  11   0  16  11  13   8   9   7  11   4   9   3  14   5  12   9  14  10  13
 4  13  17  16   0  15  19  22   9  15  11  18   9  17  20  19  18   9  28  16   5
 5   6   6  11  15   0  14  17  16  16  20  13  16  12   9  14   7  10  23  11  14
 6   8  14  13  19  14   0  13  18  18  22  15  18  14  15  16  15  12  11   5  16
 7  13  17   8  22  17  13   0  15  15  19   6  15  11  18   5  18  15   8  16  19
 8  12  16   9   9  16  18  15   0  14  14  11   2  10  19  12  17  14  21  15  14
 9  12  16   7  15  16  18  15  14   0   6  11  14   4  19  12  17  14  15  15  18
10  16  20  11  11  20  22  19  14   6   0  15  14   8  23  16  21  18  19  19  16
11   9  13   4  18  13  15   6  11  11  15   0  11   7  16   3  14  11  12  12  15
12  12  16   9   9  16  18  15   2  14  14  11   0  10  19  12  17  14  21  15  14
13   8  12   3  17  12  14  11  10   4   8   7  10   0  15   8  13  10  13  11  14
14   9   5  14  20   9  15  18  19  19  23  16  19  15   0  17   4  13  16  14  17
15  10  14   5  19  14  16   5  12  12  16   3  12   8  17   0  15  12  11  13  16
16   7   3  12  18   7  15  18  17  17  21  14  17  13   4  15   0  11  18  12  15
17   6  10   9   9  10  12  15  14  14  18  11  14  10  13  12  11   0  21   9   6
18  17  19  14  28  23  11   8  21  15  19  12  21  13  16  11  18  21   0  14  25
19   5  11  10  16  11   5  16  15  15  19  12  15  11  14  13  12   9  14   0  13
20  10  14  13   5  14  16  19  14  18  16  15  14  14  17  16  15   6  25  13   0
;
param C =60;
